sub_id,date_time,session,platform,congruent_accuracy,congruent_omission_rate,congruent_rt,incongruent_accuracy,incongruent_omission_rate,incongruent_rt
ffd3eacf6de479fa0db65f85,2026/03/22 19-38-11,1,cognitionrun,1.0,0.0,728.5555555555555,1.0,0.0,691.0
0d66abe3febad1844229047f,2026/03/22 20-03-54,1,cognitionrun,0.8571428571428571,0.0,684.1666666666666,1.0,0.0,996.625
11dbe4dc0fc2c61d0a0c2ca0,2026/03/22 20-29-54,1,cognitionrun,1.0,0.0,861.0,0.9,0.0,894.7777777777778
0641b498364e975c1768c8f1,2026/03/22 20-55-08,1,cognitionrun,0.8571428571428571,0.0,829.0,1.0,0.0,984.875
d9f3e0751b0a70735060a37c,2026/03/22 21-20-23,1,cognitionrun,1.0,0.0,797.9,1.0,0.0,1045.6
a2430dcf2f7e5c5bf1b80909,2026/03/22 21-46-37,1,cognitionrun,1.0,0.0,726.4,1.0,0.0,1905.2
5bd2f5cdb333c16fcab025a0,2026/03/22 22-11-34,1,cognitionrun,1.0,0.0,756.2,0.8,0.0,1059.0
99e9866c9dc39a8d1599c716,2026/03/22 22-37-44,1,cognitionrun,1.0,0.0,846.1111111111111,1.0,0.0,896.1666666666666
f097c32dc432e06e9042d1f6,2026/03/22 23-03-28,1,cognitionrun,1.0,0.0,837.125,1.0,0.0,1017.0
f6862052d5930e2301b6258c,2026/03/22 23-28-44,1,cognitionrun,1.0,0.0,868.75,0.9090909090909091,0.0,824.9
359bbd45d9ea27524d88bb77,2026/03/22 23-54-20,1,cognitionrun,1.0,0.0,1898.5714285714287,1.0,0.0,1630.5
08e72184bf4003fc3f11d64f,2026/03/23 00-20-16,1,cognitionrun,1.0,0.0,665.8333333333334,0.8888888888888888,0.0,891.125
70b3f43757ba1e19cfe70c2f,2026/03/23 00-45-35,1,cognitionrun,1.0,0.0,742.2857142857143,0.75,0.0,914.0
9593630122422a1d0240fba3,2026/03/23 01-10-45,1,cognitionrun,1.0,0.0,975.3333333333334,1.0,0.0,1004.5555555555555
1032a001f335654ef6b2ae19,2026/03/23 01-36-15,1,cognitionrun,1.0,0.0,850.25,0.8181818181818182,0.0,1016.1111111111111
7373bf6a1c543b430f2042ab,2026/03/23 02-02-35,1,cognitionrun,1.0,0.0,733.6666666666666,0.9166666666666666,0.0,945.1818181818181
b7d6334d18c864a66418d24c,2026/03/23 02-28-22,1,cognitionrun,1.0,0.0,651.6666666666666,1.0,0.0,755.3333333333334
350dbb3a026acd36a9ccbdc4,2026/03/23 02-53-34,1,cognitionrun,1.0,0.0,729.0,0.7,0.0,885.7142857142857
90db314e8201368789d832c2,2026/03/23 03-19-22,1,cognitionrun,1.0,0.0,896.6666666666666,1.0,0.0,1185.3333333333333
8493e22c78b8b6bd1601fdc8,2026/03/23 03-45-04,1,cognitionrun,0.8888888888888888,0.0,781.75,1.0,0.0,863.6666666666666
6cb98dd40f348898fb6f1e26,2026/03/23 10-43-20,1,cognitionrun,1.0,0.0,828.6,1.0,0.0,1055.4
37ac470235de1b427a995e5e,2026/03/23 11-09-22,1,cognitionrun,1.0,0.0,726.6666666666666,1.0,0.0,866.5555555555555
